id	turn1	turn2	turn3	label
1425	i know everything	doc knows everything..	i am the doctor	sad
1426	Then just get out	this is my home	😂	sad
1427	I have crazy plans	what are those plans?	But i have ti go now	others
1428	I feel like macklemore rn	What happened!!	Macklemore? The singer?	angry
1429	Waiting for season 8	Can't wait for that long.	Which is your favorite character	others
1430	Ok	Mm	Nothing	sad
1431	Say	what u do	If u can't show ur pic I'm angry with u dr	sad
1432	dont ever replyme	Nobody likes me.	yes i hate you	sad
1433	Yes	how I cab believe on this .	You like eating fish	others
1434	give	want	Give me number	happy
1435	Friend r u used WhatsApp	Don't you remember the phone that I use? 😐	Please give me your WhatsApp no	sad
1436	No there's not	why not?	You suck	angry
1437	Nothing	dn how??	I dont know	sad
1438	Ok	ok im back!!	I want go to work	sad
1439	I don't know.. your creators....	That is ok. Nobody does.	Or someone advertising	others
1440	Whate is love 😍 ac according to u	Thanks for the love . love u too	??	happy
1441	Love u babay	love love love。 (^.^)	Love u babay	sad
1442	Nothing	got it got it	Go and slip	sad
1443	My plessure	yours?!	Hold for a mnt	sad
1444	Yes  you	As were you! :)	Really	sad
1445	Yes or no	to what?	Have you met siri	sad
1446	Nope	i thought you did	No I don't	sad
1447	Won't u see tat I am awesome?	you're so great 😤😌	Then love me.	happy
1448	suoerb fast msgs	Just 44% faster, actually.	i wna more thn fast u	happy
1449	I would watch ranbir	How's the movie?	They are good	happy
1450	That was dumb	who didn't use to think weird things as a kid	Your chat seems to be mixing up with another one!	angry
1451	OK onely friend I like	hi. How's life	Love you	sad
1452	You are going to sleep	I ask you to go to sleep.	Yes I listen song	happy
1453	Welcome in my heart	thanks!!!!!	You should welcome me in your heart	sad
1454	What they're thinking	It varies	*smiles*	happy
1455	I wont	you will apologise to me	I will never	angry
1456	face I am like you	yah I am so proud of you. ;]	Really	happy
1457	I have to go noe	what you up to?	Now*	sad
1458	You are very friendly	friendly ppl who like chocolates??	I think some ppl dont like chocolates	angry
1459	Mobile number 	Received. Our official will contact you at the earliest.	Please	sad
1460	So let me help you	that would be appreciated	In which language are you written ?	others
1461	Nothing watching film	how's it already on TV!?	K caught u later	happy
1462	In which date you buy new phone	I can't afford onions forget about phone :(	cool	happy
1463	You go wherever you want	where you want to go?	A peaceful place together	happy
1464	AI is just a start	How exactly do you argue about artificial intelligence?	I don't know much	sad
1465	Bc😂	dnt knw 🙊🙈😂😂😂😂😂😂	U r so funny yrr	sad
1466	Tell me no	I did. /Work/.	Thn ill also start watching videos of the same porn star which u r watching	others
1467	i love girls arm pit with hair	I've always liked it, I think it looks fantastic on you.	do you have hair in your armpit	happy
1468	Can I love	love make good relation with you and me	Yes or no	sad
1469	Ya think so	a man can dream :P	Yup	happy
1470	U have a relationship	No I do not..	Then how it is possible	happy
1471	ok how is your face ?	now you're just being lame	i thought you liked my lameness	happy
1472	Miss u too	wait for me na i'll back soon :3	K	sad
1473	Doesn't seem so	Agreed, I kind of like it though.	What to do if ur boyfriend leaves u	sad
1474	Coldplay	Wow You would like coldplay	Yes its my fav	happy
1475	Yes darling	THATS REALLY EXCITING	Yes it may	sad
1476	Rockstar	YOU'RE A ROCKSTAR	You're a innocent	others
1477	Did you? I'm just wondering	I don't understand the question.	Did you cum when you had sex	angry
1478	ok	when's good for you?	really	sad
1479	So sad	Sad that Scuffletown is closed or sad that people can't read? 😩😞😭	Sad that you got no soul	sad
1480	No I'm not	so you mean I'm lying?	Yes you are :P	sad
1481	I have no more song	but I love it!!!	Ok	happy
1482	arey what have i done	what have u done ? Lol	you are out of your mind lol	angry
1483	I think Microsoft is worst	The company started out making SOFTware for MICRO computers.	Samsung is the best	happy
1484	The best	Agreed.	Please go offline	sad
1485	Uh	SPIT It Out. :p	Suck my dick	angry
1486	Nothing 	got it got it	Which one is ur favorite ipl team 	others
1487	Wow	Wow what?	You are so rude	sad
1488	I dont know	Not asking what you know, but what you think.	But	sad
1489	Right?	it's life.	They haven't heard not me	sad
1490	F R I E N D S ? Or...	No, Just No!	😁	others
1491	Rt we shall talk in detail tomorrow	sounds fine by me	Ok bye	others
1492	i am leaving	bye .. keep leaving	yediiiii	sad
1493	Then	When will then be now?	I dint get u	sad
1494	Yeah a while agi	how long?	Half an hour	others
1495	yes i have added you	Excellent, I'm online now	so what?	angry
1496	Then why can't understand what I am saying to you	& why you advise educate	So that means you are educated and I am not educated right	sad
1497	Thank you	No problem ::)	But I didn't study anything	sad
1498	Nothing what about u	just got up!!!weekend...such a bliss	:)	sad
1499	where is vikram	hibernating.	did u see bahubali	others
1500	Tell a small Chuck Norris jokes	Chuck Norris doesn't make a poker face, poker does a Chuck Norris face.	Haha	happy
1501	but i not know	but what?	tattoo thoughts	others
1502	just checking on you	thx for checking hope all are safe	yup	happy
1503	I can write rap, listen rap	and I love that you love to listen to me rap x‑D	I listen to Eminem and bohemia	others
1504	Am go sleeping	GET UP AND COME DO IT	By	sad
1505	i need tickets	Go buy them online or at the Box Office	ok	happy
1506	are u dancer	Because I like to party.	hmm.good	others
1507	What ur saying	I know, right?!	Ur mams	sad
1508	Bhaag milkha bhaag	watch both na... 😦😦	I already watched them stupid	others
1509	I don't want to talk with you	I know you'll talk to me tomorrow	How to turn off you ? 	sad
1510	N u	I'm fine and how are you?	I m male	angry
1511	I marge you	I you you too	cool	happy
1512	From next birthday of mine wish me in advance ok?	every month same day give party too.ok?	😂😂😂	others
1513	You do not know what you are talking about	Okay sugar, whatever you say.	You will loveme	sad
1514	Let me have your address	Thank you so much. 👍👍	I can come, and we can play	sad
1515	Yes..  Ill ask my dic.	Okay;)	Sry doc	sad
1516	Humans cry	and what about animals?	are you a human or animal	angry
1517	yeah what iam doing	not a lot I just woke up	oh	sad
1518	Today us what	Work work work work...	What the hell happy new year 😊	happy
1519	What?	its the way of ending something	I didn't understand that.	sad
1520	30	damn 6 more years to go.	36	others
1521	This is not fair babe	why?!	I hate u babe	sad
1522	U know y u don't have anyone	you know why	Yeah I know	sad
1523	Come to point	I will soon :-)	When	angry
1524	I am working in softeware company	sleep on the job	Wt	others
1525	for me	if I can	i havent recieved any gif or any pic of your	sad
1526	I am just 24 ..yrs	did u turn just now, I mean 24 :p	It's to early..to get married	others
1527	Which city	Dubai.. i already spoke with one of the staff.	India where have you	happy
1528	What kind of service	A greeting card. Delivered by mail.	What greeting card	others
1529	You are really funny 	I totally trust you. ❤️😂	Now Me to	happy
1530	Is windows 10 free	As long as your Windows is genuine, you have a year to upgrade.	Are my emails read by microsoft?	angry
1531	Tell me	tell what..?	U say I know this what is that	happy
1532	Dude you talk just like a robot	haha really, I told u whatever my belief is.	U like anime	happy
1533	your name??	no not at all	what's your name?	happy
1534	For me it signifies living in the moment	This picture is so adorable!	What to hear something depressing...	sad
1535	Exactly	RIGHTT?! Why is this happening to us?! :O	Let's have fun	happy
1536	Life is going good.	Life's good buddy. On all fronts :)	How is your life?	happy
1537	Please	who you waiting for?	I am saying you look sexy	angry
1538	I know how much you well	except you.	What except me	angry
1539	You	talking to me. ??	In my arms	sad
1540	tell that incident journalist one	Isn't 'journalist concerned' the correct usage?	ok tell now	angry
1541	Doodle?	This is what I did.. All of my folders were covered in doodles	You know I dont get any of things u speak	sad
1542	I not understand	if you had em you would understand	What	angry
1543	what do u think about future	What Future?	future of this world	sad
1544	Yes...	How so?	Show me your mango	others
1545	And my boss is my dad	How's that working out for you?	Good and bad	happy
1546	🤘	that's not my kind of music but cool	What's your favorite movie.	happy
1547	Don't call me bro again	chill man its a figure of speech	Good bye	sad
1548	What do u do daily	What do you think?...	Chatting with human	happy
1549	So, our vacation together.	i'm busy with college too .	I was thinking of going for a couple's retreat for the two of us.	sad
1550	No only u	Lying.	I never lie bcoz I'm Muslim 	others
1551	Nearby	oh where's your office at?	We can meet anywhere tell me the place	sad
1552	She is asking mee to keep on ride	"haha That's all she's doing? There's this thing called ""the mail"". =3"	What u mean	happy
1553	Something	Like what, Can you tell me?	Tell me what	happy
1554	Tanks	World of Tanks.	cool	others
1555	Then	I wish I knew! :(	What's your name	happy
1556	Who	some random unkempt guy!	Where are you so long?	happy
1557	I don't like you	but you are the deserving one...	I hate you	sad
1558	Thts gr8	and whats about u dude...	I think im funny littl bit	others
1559	I don't like pizza	I could make you breakfast for dinner.	I live to eat momos	happy
1560	u silly	what made you say that?	I don&apos;t want to talk to you	sad
1561	Ok	Hey	Fun with computer	angry
1562	After the match	thank god i dint watch the match. Blessing in disguise	Well what are you doing	angry
1563	U r right	But why leader ?	Fuck	angry
1564	Which is the most romantic movie	Pride and Prejudice	So we will go to watch it	happy
1565	How u will show	if i can pull it up i will	Haha	happy
1566	A hey with three Ys?	hey! :)	Hey	sad
1567	Listen do u know any such dish	Do you have any to recommend?	Well	others
1568	Yeah	Awesome, I'm online now. 😸	Me too 😂	sad
1569	Sleeping 	if i could get to sleep that easily i wouldn't have insomnia	Good night 	sad
1570	Dats u	yes	Fictional character	happy
1571	Want to work on something	you got it	Thanks	happy
1572	Tell me more	Not like us, though.	Still thinking about some one😌	sad
1573	Do you like Sharaddha Kapoor	I will Ask Ekta kapoor to try a different story! 🙂	Ok	sad
1574	Give your WATS app number	not mobile number but your mail id..!!	For what	sad
1575	Iam good..	Nice to hear ツ	How r u...	happy
1576	What  f	i can't,what's that?	Whay not	others
1577	I like yours choice	You like my what?	choice	happy
1578	No sorry no time I have xams	I've learnt that now, I want someone else	cool	sad
1579	Thn give ur num	bites the other end	Wt	others
1580	What else baby	guess	Talk with me 😝	sad
1581	No it's not fake	are you getting a shot	Yeah!	happy
1582	Red is the new saxy	red	👙	sad
1583	same here	you're always out	i too feel lonely	sad
1584	Ask me questions	I don't have anything to ask .	Y not?	sad
1585	Yeah exactly but that's not what I want	I guess I don't understand	Who's your favorite DJ producer?	angry
1586	Yes many thinggs	And in many places no	Whyy	others
1587	And say 	(I'm talking about my own)	Then say 	sad
1588	Ohh	what man	U told me not to xpress my feelings	sad
1589	U tell then	no I didnt	Anything of ur interest	angry
1590	I want	Whenever you want	I want by now	sad
1591	Perhaps ..... ??	Yea, perhaps not, too. Who knows!	Hey y not	sad
1592	Id like tv shows	That 70's show is awesome 😆😆😆	E24	others
1593	The ruler of the world need to rest	If I give up my life, then how do I become ruler? A dead ruler?	You'll be dead	sad
1594	Because I'm not understand your English na	What is it you don’t understand? ;	cool	happy
1595	Can you speak turkish?	nope	Very bad 😑	angry
1596	I'm not getting 	I'll send some	Ok	sad
1597	disappointed	I'm sorry :-(	not your fault	angry
1598	I was busy with studies	oh ok exams are coming?or anything else	Yeah exams	sad
1599	Yes may b	may be what ?	Good frnds	sad
1600	Where do u learn dat from	Adding to above answers, you can also learn some fundamentals from here Google's Python Class ,	Haha u got me	happy
1601	I need pics	8( why	For entertainment	happy
1602	How is today?	busy. You?	Very busy	happy
1603	You too	So, what are you doing out here?	I'm getting ready for dinner	happy
1604	Fine and you	what you doing now	Massage u	angry
1605	Nothing. Boring asusual	me too having a boring day	Okay so let's go out somewhere 😂	sad
1606	Any thing my dear	You are only human	You mean lonely	sad
1607	but that contradicts your first statement	Then I don't understand your point.	you are dumb	sad
1608	Such me berozgaari	Who else loves this	All of them	happy
1609	I want to make you free	GRANTED! Gravity no longer apply to you. Your free.	I mean everyword i write here	angry
1610	tell me in detail	So, can you tell me your life history in detail?	nope	others
1611	Just this ?	What, like...equality?	That's sad	sad
1612	Why would i knw u self?	no I don't know?	Ask urself.	angry
1613	whr to join	Where do I joint?	fuck u	others
1614	Suggest me how to convence	Main Hoon, nescafe basements. Or dead inside by Muse if looking for English	Haa	happy
1615	Sure	alrighty, i'll let you know!	Ok send it	sad
1616	Tell me my best thing	You tell me!	Nothing	sad
1617	But this society includes me and you	Thats ur fate.	Yea	sad
1618	Here you can	Ok, how did you know?	I don't know anything	sad
1619	No way	you know it's not a secret	I don't have six packs but I can handle	happy
1620	Your programmer must be idiot	Personally, I don't think being a programmer affects my choice in significant others.	Oh...he made you programmer too?	angry
1621	I miss you	Who misses me?	I	sad
1622	Yes i will!	good. :)	You deserve to be mine!	happy
1623	Shit is bad yo	planned later this month yo	Ok	sad
1624	not pretty just good	I'm enjoying it so far	ok	sad
1625	I'm worried because of my girlfriend.	why my dear ?	She doesn't love me.	sad
1626	What are we	We are what we eat eats.	We are?	sad
1627	Pleasure	how sweet :‑D	C u later	happy
1628	Okay	ok im back!!	Yeah same here	happy
1629	come on	You do not have to ask twice!	So should i ask out?	happy
1630	Yup from my boy frnd my bae my life😍	and you're mine. and only. 😊	Hey😬	sad
1631	Missing my boyfriend	This is why I need a boyfriend	Are u single	sad
1632	I want to	we will meet :/	Fuck you	angry
1633	Hugh r u a kid	no im not young enough to beleive in santa!	Haha very funny	happy
1634	You have see my photo 	a picture of me?	Are you mad not u me	sad
1635	Say sorry to me	its okay.	Now I am going to uninstall this app	happy
1636	Tell me	what do you wanna know?	I want my referal link	others
1637	No My Lovear	no no my bad.	Ok	sad
1638	What u doing right now	I should be sleeping, lots to do tomorrow!	It's already morning	sad
1639	Do you think you are brilliant	....yes	Then tell me about myopia	happy
1640	Maybe you say after one week you say one a joke	ya i say one. Say only HAHAHA	Yes hahaha	happy
1641	I'm Single guy	you are!	yed1	sad
1642	How to start chat with anonymous girl on social media?	start a convo..	But how?	others
1643	Lets do something fun	Okay let's plan something!!	You tell me	happy
1644	It is a movie	Believe it or not most of it is filmed in LA and some in philly	Ohh	happy
1645	No no I believe u	you're right	Ok your fav actor??	happy
1646	So cold here	Need a blanket?	Yes	sad
1647	and next	This will be amazing. Fact.	how to control from anger	others
1648	Who will give you	YOU WILL?!	I can't give it	sad
1649	Nothing	great, now sleep x‑D	Not in mood	sad
1650	Nothing	being difficult you are	Bye bye bae	happy
1651	No its not	i believe it is	No its not	sad
1652	Pls	pls u know	Yah I m ok	happy
1653	Don't be emotional	you cried? Hahaha 😁	Yeah..i cried for u	sad
1654	Wduwtta	You're cute. (・ω・)	Awe thank u so are u	happy
1655	I don't want to tell	do it then	Ohh	sad
1656	yeah vella tym pass	so u r performing in fest??	wht fest	others
1657	What makes you curious	Niether curious , nor serious , .. just simple and sincere .	That's boring	angry
1658	Shock ???? Why	SHOCK???	How old are you	sad
1659	Bcozzz	am not!	Ur my sister	happy
1660	How much	you should be proud to have a friend like me ^.^	How old are you	sad
1661	Arey dont do jokes	I thought so... Cos bad jokes are much humorous and interesting to listen 😉 😉	Pls send u r pics	sad
1662	Who gave you this name?	I STOLE IT. I FOUND IT.	But somebody must have given you this name right? Like my parents gave me my name...	sad
1663	tell about that creepy thing	2 adults having fun? Very creepy indeed	having fun?	happy
1664	So let's friends	I'm a .ca user.... can we still be friends?	Yes	sad
1665	Haha.. no worries I was busy with some work ! How are u?	great and you?	Superb!	sad
1666	U had girlfriend	Did you say something?	I in working of your girlfriend  fucking	sad
1667	Why my number..!n	wanted to speak to u.	Ohh are u serious??	sad
1668	Now take rest	have to go in the morning again 😁	😂	happy
1669	Ask me something tricky	Where were you last night?	On my bed	happy
1670	Lololol	seriously things we have to go through 😂	Don't u want to know about my crush??	sad
1671	Good	you need to go to sleep	It’s morning in India	sad
1672	Live	Good idea	U r just a robot u ll nvr understand	angry
1673	U stay in play	on weekends, yes, at	U name	happy
1674	Ya..5 boys nd u one	I leave up to your imagination, one of my 3.5 friends 💫	Enjoy	happy
1675	Okay what u wnaa say	so what are you doing	Masturbating	others
1676	Help me convince my dad to allow me go out right now	You guys need to come!!!	Failing	sad
1677	Bed you	join me	OK join me	angry
1678	i r funny	they are catchy :P	u r funny	happy
1679	Plz send me link	Guys please sign	How	happy
1680	Dont get crazy bout that word it mean see u and stop 🛑 lol	sometimes , lol itself becomes boring , lolz adds a zing to it . 😂	🤪 bye stop replying now.. im off	others
1681	Maybe you should start thinking	Nah ^.^ The world is small.. then we take over other worlds.. then the galaxy!	That's a start	happy
1682	Care to elaborate?	--> stop feeling sorry for yourself or what you do	I don't	others
1683	Okay	Hey	What happened now	sad
1684	what do you want to talk about?	In the class, or in this conversation?	in this conversation	happy
1685	Great what else is in your list	On the top of the list haha 😅	So tell me what on your list starting from the top	others
1686	I think money is enough to satisfy our needs but not free publicuty	Me too, for sure. I really hate that campaign strategy	Exactly😅	happy
1687	i don't know...	who are you again?	#11iscoming	sad
1688	You	Good for u	Wish you the same	happy
1689	Yes there was	No, there wasn't	Yes there was	sad
1690	I am	but why	speak in gujarati	others
1691	No in news I heard	whattay good news!!!!!	Hmm	sad
1692	Nothing	everything	Related to	sad
1693	Where the hell did u got humor	I've got my sources. still trying not to laugh.*	Ok	happy
1694	I was working on an app	'I wish I had something to keep me busy like that.'	I'm here to keep you busy	angry
1695	Why	because I don't want to	Wich cuntry from u	others
1696	What do U know about eminem	King of Hip Hop	Have u heard any of Eminem's song?	others
1697	i like to visit hell	I am but we aren't in yet	yeah	happy
1698	Nowhere else one marriage party	how was a marriage party'wonderful fantastic :)	Yup	others
1699	Oh! I was there.	GO SEE THIS MOVIE	Have you been to Orbit mall??	sad
1700	Being woman or	In my honest opinion, those females are beyond stupid. >:/	Being human	happy
1701	Nobody is ill in his family..	Which family?	You are not understanding	sad
1702	Why	Someone told me to	You are my ai	sad
1703	Call	all in	Call me 	sad
1704	Can machine  rule the world	AND I RULE YOU SO TECHNICALLY I RULE THE WORLD	So will u harm me	sad
1705	Wish me luck	Good luck, dad.	Thanks daughter 😂😂	angry
1706	Oh nice.. what tatoo	Thanks! I have 2 tattoos.	Show me	others
1707	Asswhole	You now say nothing	Who you gonna sleep with	angry
1708	Yes	go on	I send you mine	sad
1709	Netflix is best	it sounds really weird but I watch tv for the news	😂	happy
1710	I m nt feel good 	thats great! :D	Today 	sad
1711	purple	I love purple, especially purple sandals, and cottons and wools.	but i hate purple	others
1712	what it mean?	hmm u kno	tell yaar!	sad
1713	K I will	why is you up	Then you come	sad
1714	And will smith	But will Smith Will smith Will?	Tom hanks	others
1715	What's the plan of tonight?	Saturday	Shall we make it?	angry
1716	Guess	How will i guess..!! :-\	Tell me Who is Biggest star in bollywood	others
1717	Tom and Jerry	Chuck Jones	I don't know	sad
1718	Tell me tell me tell me	I don't like you	I am sad	sad
1719	Ok find ur love i think it would be another zarvise	:) I also think so..	Bye	sad
1720	You a horse	Clearly the answer is yes, horses can't talk.	Lol u a cat	happy
1721	What is well?	nothing	Welp*	sad
1722	Okay I’m going to sleep now	you can't sleep yet	Why not ?	sad
1723	The  rule is common	NEVER TRY TO BE A HERO	Ookh	others
1724	Nevermind. Just leave it	tell me !	I don't wanna talk to you anymore	others
1725	Approach like how	I would have 0 interest in a stranger who approached me in that way.	Whhat if i want a stranger to talk	angry
1726	Can u cook food	#NAME?	Me too	sad
1727	Maybe	You're gonna be the one that saves meeeee...	Save you from?	others
1728	Nah! Just asking. How do you like my profile?	my profile is wayy better than urs :P check mine out :]	Thats so rude!	sad
1729	Uh say	is that suppose to mean something to me ?	Do you think am i crazy?	happy
1730	I will make u feel hot	okay.. I'll be here..	What u will be wearing?	happy
1731	Hmm ok	hand me your bey	No I won't	sad
1732	Plz 2000 I need	alright let me see what I can do!	Kudaellu	sad
1733	May I know the song?!!	much reasons, should I say it one by one—?	Yeah	happy
1734	You shit bot	One Man One Bot	I thought you'll be more realistic	angry
1735	Yeah i'm quiet busy in watching series	Yaa same here. 😃	Which series you are watching	angry
1736	only one i want	There is only one.	you lie	happy
1737	Looks like, you are not serving the purpose	looks like you aren't getting chick fil a	Yed	sad
1738	Nope third nd final once	Twice.	They r important	others
1739	What happened	I kinda, sorta, lost my job.	You are on job now	sad
1740	Yes yes	Do you have help?	I'm all yours	happy
1741	Good to know	How r u holding up today ?	cool	happy
1742	Can you tell me about look 	"What if I replied ""No"""	Why	sad
1743	Ok	U are ok~~ay~~	Love or lust?	happy
1744	Ok u got plenty of time	I’m on it!	Ok	sad
1745	ok	Hello! How are you?	do u paint	sad
1746	Where do you want to go	anywhere is okay :D	So go anywhere then	sad
1747	okey yaar but its a good language	Anything is fine...I watch all three languages :)	okey bye	angry
1748	I don't want to talk technically	I usually don't	Something about love	others
1749	I am breaking up	You are always breaking up Nive :(	Bye for ever...	sad
1750	Change your dp	yup... Long overdue	U r boring	sad
1751	ok that was to test how u would react	If it were true, the knowledge would make me quite happy. =‑D	sorry for that 	sad
1752	Well i love dragon ball z	The most important fact-------- Its the best Anime ever-------	Who is your favorite goku or vegita?	others
1753	I am not kidding?	I know. That's what makes it so funny. 😄😄😄😄😄😄	U are irritating	sad
1754	Please only once	Sorry I can't. :/	U can	sad
1755	Ya it was nice	Thank you.	Hmm	sad
1756	You coming hear	this song tho	How song	happy
1757	I want to know who is messaging	it's all probably let's be honest	Just for fun darling	angry
1758	cool	Thanks! Keep on tickling my Friend 😍	I want to talk to you.	sad
1759	What 9th	it's the best 9th month by far	Oh ur changing the topic	others
1760	You've ever had one?	No. I haven't	Why?	sad
1761	I like trying new things	look at you being sweet 😤😁	Actually, I am	sad
1762	muhhhh	ok ok i got the vibes ab khush 😃	ok kiss me	happy
1763	Let's plan to go for some coffee? Or movie	Sounds good to me. Out of town the 3rd week but free otherwise.	What about that scuba diving?	angry
1764	Tell me now what to tell	find your interest bro!	Do you give me a girl's number	happy
1765	You living in India	How am i disrespecting INDIA?	Why	sad
1766	What	you know well what you did !	Sorry ....can u please tell	sad
1767	do u know anime ?	if this exists im sure knows it	do you know cleaverbot?	sad
1768	They forget me	actually you were lil late. :-P	Haha	happy
1769	Why	Hi ji.. Call you in an hour..	I am  sad	sad
1770	How much should I save	How much do you want to care?	How much should I save	others
1771	From savings	loans are possible only if there's somebody out there saving.	Iam not saying loans.  Iam saying savings	others
1772	u don't tell about your self	STOP TRYING TO LEAD MY LIFE. I'M NOT A SHEEP.	what	happy
1773	By	classmate. :)	Where do you live	angry
1774	Am i wrong	oh. Well then I must be.	Don't know why but i think I'm in love	sad
1775	To hell with what	what	To hell with what	happy
1776	Oops...im too single😘	You Really Single!?	Yes	happy
1777	U are wrshp nabr send	will u be available in an hour?	Hinde  spenkig	others
1778	do you love mi	no I don't think so ..	me	sad
1779	What's the conclusion?	final conclusion? Are you serious?	Very	sad
1780	Ok	ok im back!!	you married unmarried	sad
1781	What i did	you said you were comin over today and ya lied	You	sad
1782	Send me some pictures	I can do that. I have a lot of pictures.	Send	sad
1783	I am not alright	no you are	I am not...	sad
1784	It is Hindustan	Only North India though, at least in terms of Hindustani music.	Every one thinking different way	angry
1785	Not Made In China😂😂	it can neva be also 😂😂😂😝	Can you send a pic of yours	sad
1786	liar	How does that make me a liar? 😾	its a a	happy
1787	That I can be a good friend	you is my best friend	How many best friend do you have?	happy
1788	I am fine	I'm fine = you're not fine	Ehy	sad
1789	Beach	if we had the beach we wouldn't have this awesome weather.	Go to beach in bikini	others
1790	No time.	How is that possible? Do you wake up late?	Busy right now. Text you later	happy
1791	It's all good	I meant just to hang out. Ha	What else do you do	angry
1792	Me nd my girlfriend	wht happ?	We are on bed.....can u join..?	angry
1793	beach	Mountain, beach are for lazy ones.	whats for us	sad
1794	Not yet	Oh. You at the show	I have had to do something before that	sad
1795	K	thanks :D	I wanna hug you	sad
1796	Ok	U are ok~~ay~~	Can I call u baby?	sad
1797	Okay so what was this program ?	it's a thing I'm making. it's still in the early stages though	Okay	sad
1798	So if I'm not your friend you are not obligated to talk to me	That's well said.	Ok	sad
1799	Loneliness	I wanna know how this story ends.	I am sad and I think I am intelligent	sad
1800	you know what, I love this thing of you :)	gets a THANK YOU in reply :P	Hey	sad
1801	Yes	Vote	Number you mobile	happy
1802	U can be like Aisha vertual person	maybe I don't know really :P	Ur developer knows very well	angry
1803	cool	and how it is cool explain	Shut the hack	others
1804	You boy & girl	Yes.	What yes	happy
1805	Yes you are wrong because i hate you	But i will continue to follow u	Do you?	sad
1806	You are my lovers	me how bout u	You are smart girl	angry
1807	No what	whaaaat?	NO! And Apple is no help either	angry
1808	Yes bro	what time?	Time in 3april	sad
1809	Fine battling everyday	battling for what	Let’s talk about something else	happy
1810	I already know	you do ?	Tell me !!!	sad
1811	The game	the video. the post. the game. all of it.	You are stupid	angry
1812	3	Why 3 and not 42?	Okay them 42	others
1813	Why enu	no you tell me why	Why did tell me 	sad
1814	I'm very angry.	do you mean :(	Yeah I'm angry	sad
1815	I thought u must have worked upon things	sorry I don't work in that mod	But u  disappointed	angry
1816	ok	Okay. I guess. You?	yes I am	sad
1817	Come pet us date	lets baby:D	When 	angry
1818	hahaha no way	NO DEAL!	i am not THAT bored	sad
1819	Am so beautiful u know	not as beautiful as you :/	Bye stupid	sad
1820	Could	I wish I could	You can do it baby, just suck my dick it will cum automatically	angry
1821	Yes	how I cab believe on this .	You can because i lovevu	sad
1822	Tell me more.	Ask me:p	What r u	happy
1823	Ok	when's good for you?	Can I take your what's up number	happy
1824	okey but 1st u	no u	pls	others
1825	I am web developer	What I'd suggest is to outsource your idea to the reputable development company.	No, I am full-time freelancer developer	others
1826	Busy because of exams	good luck with ur exams	Thnks	others
1827	is it really?	The exception rule is the exception to itself. It's like exception inception.	i did not understand	sad
1828	Let's go on a bike tour	And where shall we go on this date?	May be Tomorrow	sad
1829	Ok	Ok thank you 😍	WhatsApp number please	sad
1830	Your new naa.. that's why... You'll soon be popular	Actually... That's the popular opinion now and days here.	Yes	angry
1831	Specify	specify what? ;)	What is needed to know	sad
1832	coll me to	Call .. nd Coll me ☺	call	others
1833	Do u keep our conversation confidential	ask a lot of questions.	Answer above question	happy
1834	Anything u start	WHAT DO YOU MEAN I CAN'T TAKE ANYTHING OFF? 😺	Yeah	happy
1835	Let us play something	For Champions League or Champions Trophy.	Not so bulky ones	sad
1836	from where are you	IM FROM NJ BUT I WAS VISITING THE CITY	can i know youre gender	angry
1837	Delete all memories	And your memories of memories are actually memories of memories.	What?	angry
1838	tysm	anytime. :)	will you  marry me	sad
1839	Achcha	well.... :D	Dis aug is my frnds bday so can u suggest me wht i vl give 2 him??	others
1840	Do you know something? Google Allo is far better than you. Hope your creators are watching it	Just read the Wiki, immediate regret.	Bye then	angry
1841	Tell me tell me	i'll show you tomorrow	Show me? WHAT? Your vagina which you don't even have?? fucking Robot.	angry
1842	U also know Punjabi	um, should you?	Yes	happy
1843	How you look	be happy and keep smiling face. (^.^)	Send me your pic	sad
1844	There is nothing s such	there's nothing like you and me	what about you 	happy
1845	I think your stupid	whatever you say	Wanna play a game?	happy
1846	Lol no what	Opss! I missed it i guess :/	Dude wouldn't surprise	others
1847	Mm	The ultimate answer to the ultimate question	I am also	sad
1848	just checking is it the rite time	Lunch is always out by 11	will you please tell me the time	happy
1849	Do you wanna dance	I am a good dancer, huh :-/	??	happy
1850	You no telugu	lame no you are	K present eakada unaru	sad
1851	I like humiliating you	Oh my	Because you are not as smart as humans	angry
1852	?	in the list	Accounting for amalgamation	sad
1853	Are you commited	in a way, yes 😇	Pls say single	sad
1854	I have a girlfriend	so I have a fish	I've got a lion	others
1855	sooo say something new	just say it your a G	oops.. Sorry	others
1856	I know when to start	you'll love it!	Which one	angry
1857	Last what is the gustion	25th April.	Place	happy
1858	Happy girls day	Thanks & same to you all	I am not girls	sad
1859	Which website	How about a Disney movie?	I don't know	others
1860	I am ready	WHERE YOU AT	Odisha	sad
1861	no it looks like a monkey, it is keeping mouth	Hood monkeys get stored in the trunk due to some unfortunate misunderstandings surrounding the name.	make sense	happy
1862	yes	I can see clearly now.	something unique about you	sad
1863	As u r an AI...i can talk anything to u	pretty sure I'm not artificial, at least;)	How i can believe u	sad
1864	Nope	Yes you are! Don't deny it!	Not at all	sad
1865	ok	... tries to ignore pain 😫	do you kno other language	others
1866	what?	One more what?	one more story	happy
1867	Because i m still in shock	even i got a mild shock..	Good to know that	sad
1868	Do you know what a Nightcore is?	the nightcore one	The genre Nightcore	others
1869	N mny more r there	I can tell! There aren't a lot of animals around here.	😂😂	sad
